公司名称,联系电话,费率,付费方式,创建时间,单价,房号,地址,区域,状态,小区名称,租赁方式,面积,环境分
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/9/18,1350元/月,2003/2/9,金牛区实业街59号3栋2单元5楼9号,金牛区,挂牌公示,丽晶花园,整租,46.77,
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/9/4,1950元/月,2-3-2103,成华区御风二路9号2栋3单元21楼2103号,成华区,挂牌公示,信和御龙山,整租,64.21,
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/8/31,1200元/月,1-2-409,青羊区西大街84号1栋2单元4楼409号,青羊区,挂牌公示,清盘项目2012-04-16 13:46:03,整租,37.74,
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/8/21,700元/月,2001/1/11,金牛区站西桥东巷12号1栋1单元6楼11号,金牛区,挂牌公示,清盘项目2010-12-30 15:55:44,整租,52.43,
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/8/19,1600元/月,2002/2/18,金牛区星汉路1号2栋2单元5楼18号,金牛区,挂牌公示,清盘项目2010-12-30 17:49:35,整租,64.5,
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/8/19,1960元/月,7--3111,锦江区庆云南街69号7栋31楼3111号,锦江区,挂牌公示,红星国际,整租,51.97,
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/8/18,1000元/月,2007/2/2,金牛区蜀西环街126号7栋2单元2楼2号,金牛区,挂牌公示,郎家村七、八组拆迁安置房工程,整租,63.13,
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/8/18,2000元/月,3-2-33,金牛区北站西一巷7号3栋2单元3楼33号,金牛区,挂牌公示,清盘项目2010-11-12 15:38:35,整租,80.7,
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/8/17,1600元/月,2004/8/14,锦江区东光街11号4栋8单元7楼14号,锦江区,挂牌公示,清盘项目2010-11-5 14:34:59,整租,69.7,
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/8/17,1600元/月,2003/2/9,双流区东升街道东泰路56号3栋2单元5楼9号,双流区,挂牌公示,双华家园,整租,86.07,
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/8/16,1310元/月,2001/4/8,青羊区王家塘街9号1栋4单元3楼8号,青羊区,挂牌公示,王家塘街,整租,40.73,
成都城投资产经营管理有限公司,19381922130,12%,季付,2022/8/10,1250元/月,6-1-404,成华区华冠路4号6栋1单元4楼404号,成华区,挂牌公示,龙潭工业园区拆迁安置房二期西区,整租,53.4,
成都润锦城实业有限公司,2886943422,12%,季付,2022/8/9,1300元/月,大板-2-5,武侯区人民南路四段7号大板栋2单元2楼5号,武侯区,挂牌公示,清盘项目2010-11-02 10:04:25,整租,48.15,
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/8/9,1460元/月,2001/4/3,武侯区致民东路79号1栋4单元15楼3号,武侯区,挂牌公示,清盘项目2012-07-24 16:53:19,整租,42.12,
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/8/9,1999元/月,1-1-2908,青羊区正府街172号1栋1单元29楼2908号,青羊区,挂牌公示,山水·琨玉,整租,59.98,
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/8/8,1440元/月,2001/1/8,武侯区十七巷老3号1栋1单元4楼8号,武侯区,挂牌公示,清盘项目2010-11-19 14:23:47,整租,45.27,
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/8/7,1300元/月,大板-2-1,武侯区人民南路四段7号大板栋2单元4楼1号,武侯区,挂牌公示,清盘项目2010-11-02 10:04:25,整租,41.76,
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/8/6,1900元/月,1-1-2931,锦江区大业路6号1栋1单元29楼2931号,锦江区,挂牌公示,财富中心（一期）,整租,47.53,
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/8/5,1400元/月,2008/4/12,金牛区平福巷2号8栋4单元6楼12号,金牛区,挂牌公示,平福巷,整租,58,
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/8/3,2000元/月,2001/1/26,锦江区锦兴路34号1栋1单元18楼26号,锦江区,挂牌公示,清盘项目2010-9-27 16:02:43,整租,56.68,
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/7/29,2000元/月,2001/2/1,锦江区三圣街24号1栋2单元1楼1号,锦江区,挂牌公示,三圣街,整租,72.67,
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/7/29,2000元/月,2001/3/8,金牛区金罗路5号1栋3单元4楼8号,金牛区,挂牌公示,金罗路,整租,71.06,
成都城投资产经营管理有限公司,19381922130,12%,季付,2022/7/28,1200元/月,1--19,金牛区西体路19号1栋5楼19号,金牛区,挂牌公示,芝麻街工程,整租,43.3,
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/7/26,1650元/月,2001/2/6,青羊区东二道街64号1栋2单元3楼6号,青羊区,挂牌公示,清盘项目2010-07-26 15:37:03,整租,57.33,
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/7/26,1667元/月,2001/2/19,青羊区西府北街16号1栋2单元16楼19号,青羊区,挂牌公示,时代凯悦,整租,52.49,
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/7/25,1880元/月,3-4-102,青羊区玉宇路998号3栋4单元1楼102号,青羊区,挂牌公示,橙花风景,整租,62.91,
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/7/25,1200元/月,31--21,成华区建设路41号31栋6楼21号,成华区,挂牌公示,清盘项目2010-05-06 15:22:29,整租,53.89,
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/7/25,1901元/月,79-3-33,锦江区海椒市街15号79栋3单元6楼33号,锦江区,挂牌公示,清盘项目2010-7-2 17:00:03,整租,79.66,
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/7/25,1650元/月,2002/2/22,金牛区长久一巷19号2栋2单元6楼22号,金牛区,挂牌公示,清盘项目2010-05-14 16:52:38,整租,63.2,
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/7/24,1800元/月,2001/4/2,金牛区解放路一段83号1栋4单元5楼2号,金牛区,挂牌公示,清盘项目2010-11-16 13:26:49,整租,74.77,
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/7/22,1654元/月,2001/1/13,锦江区天仙桥北路3号附1号1栋1单元11楼13号,锦江区,挂牌公示,清盘项目2010-12-09 14:52:19,整租,39.67,
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/7/22,1650元/月,2001/4/18,武侯区百花正街65号1栋4单元7楼18号,武侯区,挂牌公示,清盘项目2011-2-14 15:31:17,整租,56.79,
成都润锦城实业有限公司,2886943422,12%,季付,2022/7/22,1500元/月,2005/2/4,青羊区石人北路100号5栋2单元2楼4号,青羊区,挂牌公示,清盘项目2010-10-22 16:01:05,整租,58.38,
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/7/20,780元/月,1949/3/3,金牛区西体路11号49栋3单元5楼3号,金牛区,挂牌公示,新二村,整租,26.46,
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/7/19,1500元/月,6-2-1304,青羊区蜀鑫路8号6栋2单元13楼1304号,青羊区,挂牌公示,海亮樾金沙,整租,80.44,
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/7/19,1580元/月,2019/4/9,金牛区百寿路19栋4单元5楼9号,金牛区,挂牌公示,百?路,整租,70.8,
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/7/19,2000元/月,2003/1/8,锦江区冻青树街70号3栋1单元4楼8号,锦江区,挂牌公示,冻青树街,整租,63.45,
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/7/18,1450元/月,新13-2-11,成华区建设路54号新13栋2单元6楼11号,成华区,挂牌公示,清盘项目2010-5-7 11:55:20,整租,69.2,
成都城投资产经营管理有限公司,19381922130,12%,季付,2022/7/18,1780元/月,2002/6/9,锦江区二环路东五段10号2栋6单元4楼9号,锦江区,挂牌公示,清盘项目2010-11-10 14:11:15,整租,53.57,
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/7/17,1600元/月,1-1-207,青羊区大安东路3号1栋1单元2楼207号,青羊区,挂牌公示,水岸丽舍,整租,51.18,
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/7/17,1830元/月,1-1-40,锦江区东大街上东大街段2号1栋1单元7楼40号,锦江区,挂牌公示,清盘项目2011-08-09 16:04:40,整租,44.21,
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/7/17,1550元/月,2001/1/10,青羊区西府北街8号1栋1单元8楼10号,青羊区,挂牌公示,时代凯悦,整租,48.55,
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/7/16,1600元/月,1-1-805,武侯区沙堰街1号1栋1单元8楼805号,武侯区,挂牌公示,晋源彩庭·博派,整租,56.94,
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/7/16,1900元/月,1--9,青羊区正通顺街41号1栋10楼9号,青羊区,挂牌公示,住宅、商业(时代领地),整租,61.32,
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/7/16,1798元/月,13-2-2005,西航港街道黄河中路二段36号附圣菲TOWN城号13栋2单元20楼2005号,双流区,挂牌公示,圣菲TOWN城,整租,77.89,
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/7/16,1600元/月,2002/1/12,锦江区东安北左街23号2栋1单元4楼12号,锦江区,挂牌公示,清盘项目2010-12-1 11:42:21,整租,57.54,
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/7/15,1700元/月,2001/4/7,金牛区金沙路西巷17号1栋4单元4楼7号,金牛区,挂牌公示,清盘项目2010-6-29 9:32:57,整租,74.3,
成都润锦城实业有限公司,2886943422,12%,季付,2022/7/15,1950元/月,2005/3/6,青羊区贝森南路95号5栋3单元3楼6号,青羊区,挂牌公示,清盘项目2010-12-06 17:04:14,整租,72.9,
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/7/15,1400元/月,2012/1/11,青羊区清溪南街14号12栋1单元3楼11号,青羊区,挂牌公示,清盘项目2010-11-10 11:20:14,整租,54.44,
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/7/14,1700元/月,2001/3/7,青羊区文庙前街85号1栋3单元4楼7号,青羊区,挂牌公示,清盘项目2010-09-19 15:12:10,整租,50.95,
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/7/14,1900元/月,6-3-206,高新区大源北二街48号6栋3单元2楼206号,高新南区,挂牌公示,高新区大源双河三期高层安置房2区工程,整租,50.52,
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/7/14,1500元/月,2003/3/12,锦江区上沙河堡街124号3栋3单元6楼12号,锦江区,挂牌公示,上沙河堡街,整租,102.4,
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/7/13,900元/月,2001/4/2,成华区福康街82号1栋4单元1楼2号,成华区,挂牌公示,清盘项目2010-08-04 14:04:48,整租,40.12,
成都润锦城实业有限公司,2886943422,12%,季付,2022/7/13,1650元/月,-20,青羊区长顺下街69号2单元5楼18号,青羊区,挂牌公示,长顺下街,整租,52.99,
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/7/13,1600元/月,2007/4/12,成华区双林路44号7栋4单元6楼12号,成华区,挂牌公示,清盘项目2011-02-18 16:46:45,整租,56.57,
成都润锦城实业有限公司,2886943422,12%,季付,2022/7/13,1519元/月,1-1-1308,锦江区梨花街12号1栋1单元13楼1308号,锦江区,挂牌公示,商业，住宅及附属设施用房,整租,37.23,
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/7/13,1400元/月,5-1-1303,成华区荆竹东路288号5栋1单元13楼1303号,成华区,挂牌公示,东林城市花园,整租,56.75,
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/7/12,1900元/月,3-1-1102,成华区荆翠中路300号3栋1单元11楼1102号,成华区,挂牌公示,蓉华上林万华苑,整租,71.32,
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/7/12,1555元/月,1--1717,青羊区文翁路139号1栋17楼1717号,青羊区,挂牌公示,成都力迅-国际公寓,整租,44.89,
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/7/12,1950元/月,21-1-1303,成华区和韵路109号21栋1单元13楼1303号,成华区,挂牌公示,蓝光锦绣城,整租,62.74,
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/7/12,1150元/月,1-1-47,武侯区永盛南街10号1栋1单元11楼47号,武侯区,挂牌公示,名人数码港,整租,34.23,
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/7/12,1500元/月,2014/1/7,成华区双桥路249号14栋1单元4楼7号,成华区,挂牌公示,双桥路北,整租,69.42,
成都城投资产经营管理有限公司,19381922130,12%,季付,2022/7/12,1800元/月,2001/2/1,青羊区铜丝街2号1栋2单元5楼1号,青羊区,挂牌公示,铜丝街,整租,63.46,
成都城投资产经营管理有限公司,19381922130,12%,季付,2022/7/11,1000元/月,2001/2/19,武侯区国学巷37号1栋2单元2楼19号,武侯区,挂牌公示,国学巷,整租,33.89,
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,月付,2022/7/11,1000元/月,2007/5/1,成华区双沙路160号7栋5单元2楼1号,成华区,挂牌公示,清盘项目2012-10-19 14:28:24,整租,66.64,
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/7/11,1800元/月,8-3-33,锦江区海椒市街15号8栋3单元5楼33号,锦江区,挂牌公示,清盘项目2010-07-06 9:53:08,整租,59.08,
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,月付,2022/7/11,1200元/月,2017/3/31,金牛区肖家村四巷8号17栋3单元4楼31号,金牛区,挂牌公示,清盘项目2010-11-09 9:25:39,整租,48.36,
成都城投资产经营管理有限公司,19381922130,12%,季付,2022/7/11,1000元/月,2001/2/19,武侯区国学巷37号1栋2单元2楼19号,武侯区,挂牌公示,国学巷,整租,33.89,
成都万科物业服务有限公司,唐女士：18200200713        刘先生：15928624598,8%,季付,2022/7/11,1900元/月,2002/4/11,青羊区磨底河沿巷7号2栋4单元4楼11号,青羊区,挂牌公示,清盘项目2010-11-05 16:08:30,整租,73.69,
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,月付,2022/7/11,1000元/月,2007/5/1,成华区双沙路160号7栋5单元2楼1号,成华区,挂牌公示,清盘项目2012-10-19 14:28:24,整租,66.64,
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/7/11,1370元/月,1--1407,青羊区人民中路三段1号1栋14楼1407号,青羊区,挂牌公示,壹号公馆,整租,43.58,
成都润锦城实业有限公司,2886943422,12%,季付,2022/7/11,1800元/月,11-1-1716,高新区大源北一街25号11栋1单元17楼1716号,高新南区,挂牌公示,大源双河三期农迁房,整租,50.66,
成都久伴住房租赁有限公司（贝壳旗下租赁企业）,座机028-87331863   座机 028-86138151,8%,季付,2022/7/11,1980元/月,2001/2/13,武侯区郭家桥正街1号1栋2单元7楼13号,武侯区,挂牌公示,清盘项目2011-02-22 16:29:54,整租,57.02,
